"id","V1","V2","V3"
"89",71.3,13.8,12.6
"90",67.3,14,18.6
"91",66.7,15.4,17.2
"92",65.9,15.5,19.2
"93",65.6,15.7,18.4
"94",66.2,16.4,17.4
"95",65.6,16.4,18
"96",65,16.4,17.4
"97",64.6,17.2,19.4
"98",63.3,17.4,19.2
"99",64.4,17.6,18
"100",63.6,18.2,17.2
"101",63.1,18.3,19.2
"102",61.7,18.8,19.5
"103",62.4,20.6,17.1
"104",60.3,21.5,17.6
"105",58,23,18.7
"106",58.7,24.9,16
"107",56.7,26,16.8
"108",57.9,26.1,15.3
"109",56.9,27.3,15.4
"110",53.5,27.8,13.2
"111",56.6,28.1,15.2
"112",54.9,28.7,14.3
"113",53.6,28.8,18.2
"114",55.5,28.9,15.2
"115",55.4,29.2,15
"116",56,29.7,14.4
"117",50.3,30.4,19.2
"118",51.6,31.5,17.1
"119",51.4,32,16
"120",52.9,32.2,14.1
"121",51.5,34.2,14.9
"122",50.3,35.1,14
"123",49.5,35.2,15.2
"124",50.6,36.2,13.4
"125",49.6,36.5,13.9
"126",48.6,37.8,13.8
"127",43.9,44.7,12.1
"128",42.1,45,11.8
"129",42.2,45.7,11
"130",54.1,29.8,15.7
"131",72.8,5.9,20.7
"132",41.4,46,12.5
"133",76.1,1.4,21.6
"134",74,4.6,20.8
"135",72.5,6.4,20.9
"136",70.3,8.5,21
"137",65.7,11,16.3
"138",64.6,13.5,16.7
"139",63.6,17,19.7
"140",62.4,22.4,11.5
"141",54.2,27.9,17.6
"142",52.5,31.5,16
"143",41.2,46.5,11.1
"144",71.1,6.1,21.5
"145",75.6,2,21.4
"146",73.9,4.7,21.1
"147",73.5,5.3,21.6
"148",73.1,6,19.6
"149",72.4,6.4,20.6
"150",72.6,6.8,19.6
"151",73.4,7.1,18.8
"152",71.9,7.3,20.1
"153",71.8,7.8,20.2
"154",70.9,9,19.9
"155",65.7,10,19.7
"156",69.2,10.5,19.6
"157",68.7,11,20
"158",67.5,12.2,20.1
"159",65.2,14,20.5
"160",62.7,15.9,21
"161",66.2,16.5,17.2
"162",63.2,17.7,19
"163",61.7,18.8,19.5
"164",60.3,23.4,16.3
"165",56.9,26.7,15.6
"166",55.6,28.3,16.3
"167",55.5,28.9,15.2
"168",53.3,31.1,16.3
"169",52.2,33.7,14.2
"170",49.5,35.2,15.2
"171",48.5,38.5,12.2
"172",42.1,46.3,11.5
"173",40.7,47.7,11.8
"174",58.3,25.5,15.5
"175",69.3,10.6,19.3
"176",75.6,2,21.4
"177",70.7,4.7,20.5
"178",72.6,6.8,19.6
"179",71.5,8.6,19.4
"180",72.9,11.2,13.7
"181",71.3,13.8,12.6
"182",59.7,17.7,15.8
"183",59.8,23.3,16.4
"184",55.5,29,16.6
"185",50.3,34.8,14.6
"186",41,47.8,11.6
"187",65.2,11.1,19.2
"188",72.7,2.9,21.7
"189",72.1,4.8,21.6
"190",73.5,5.6,20
"191",73.6,6.2,19.3
"192",72.5,6.4,20.9
"193",73.4,6.8,18.7
"194",72,7.1,19
"195",73.2,7.3,19.9
"196",71.9,7.9,19.1
"197",69.5,9.2,21.5
"198",67.9,10.1,19.5
"199",71.1,10.7,17.7
"200",65.7,11.2,19.4
"201",68.1,12.5,18.6
"202",66.8,14.3,17.4
"203",64.7,16,19
"204",63.6,17,19.7
"205",63,18.1,18.6
"206",62.5,19.4,17.9
"207",55.3,24.8,19.3
"208",56.6,27.2,15.7
"209",54.4,28.4,14.4
"210",55.4,29.2,15
"211",53.4,31.3,15.3
"212",51.6,33.8,13.8
"213",50.3,35.5,13.2
"214",44.9,42.5,12
"215",41,47.8,11.6
